user,brand,user_Truthful,user_FraudBuyNum,user_BrandPv,user_BrandFav,user_BrandCart,user_BrandBuy,user_CatePv,user_CateFav,user_CateCart,user_CateBuy,user_ReBuyNum,user_ReBuyTimeGap,user_TimesFromPvToBuy,user_TimesFromFavToBuy,user_TimesFromCartToBuy,user_OtherNumFromPvToBuy,user_OtherNumFromFavToBuy,user_OtherNumFromCartToBuy,user_OtherNumFromBuyToBuy,user_OtherTimesFromPvToBuy,user_OtherTimesFromFavToBuy,user_OtherTimesFromCartToBuy,user_OtherTimesFromBuyToBuy,user_BrandPvToBuyTime,user_BrandFavToBuyTime,user_BrandCartToBuyTime,user_CatePvToBuyTime,user_CateFavToBuyTime,user_CateCartToBuyTime,user_BrandViewTime,user_CateViewTime,user_ReBuyBrandViewTime,user_ReBuyCateViewTime,user_GiveTag
219639,343886,True,0,12,1,1,1,20,1,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,408.0,398.0,11.0,408.0,398.0,11.0,57.0,57.0,0,0,False,0
428204,343886,True,0,5,0,1,1,22,0,1,1,0,0,5,0,1,9,0,0,0,16,0,0,0,236.0,0.0,110.0,707.0,0.0,110.0,127.0,707.0,0,0,False,0
411285,343886,True,0,41,1,3,1,50,1,3,1,0,0,38,1,3,3,0,0,0,6,0,0,0,1671.0,1396.0,1630.0,1671.0,1396.0,1630.0,1143.0,1273.0,0,0,False,0
1114655,343886,True,0,3,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,39.0,0.0,33.0,39.0,0.0,33.0,39.0,39.0,0,0,False,0
875668,343886,True,0,7,1,0,1,13,1,0,1,0,0,7,1,0,4,0,0,0,5,0,0,0,624.0,544.0,0.0,321490.0,544.0,0.0,103.0,317.0,0,0,False,0
904632,147875,True,0,17,0,1,3,18,0,1,3,2,35994.0,5,0,1,1,0,0,0,1,0,0,0,135.0,0.0,88.0,135.0,0.0,88.0,116.0,135.0,182.0,182.0,False,0
1087814,147875,True,0,5,0,2,1,20,0,2,2,0,0,3,0,2,4,0,0,0,12,0,0,0,572.0,0.0,573.0,583.0,0.0,573.0,269.0,583.0,0,0,False,0
598176,147875,True,0,20,1,1,1,30,1,1,1,0,0,19,1,1,5,0,0,0,10,0,0,0,3200.0,1605.0,1362.0,3363.0,1605.0,1362.0,721.0,1464.0,0,0,False,0
268785,147875,True,0,29,0,2,1,29,0,2,1,0,0,27,0,2,0,0,0,0,0,0,0,0,823.0,0.0,693.0,823.0,0.0,693.0,823.0,823.0,0,0,False,0
1076432,147875,True,0,17,0,1,1,21,0,1,1,0,0,17,0,1,2,0,0,0,4,0,0,0,4695.0,0.0,4604.0,544537.0,0.0,4604.0,610.0,654.0,0,0,False,0
624165,147875,True,0,11,1,0,1,13,1,0,1,0,0,8,1,0,1,0,0,0,2,0,0,0,276.0,270.0,0.0,276.0,270.0,0.0,168.0,276.0,0,0,False,0
765560,147875,True,0,14,0,1,1,18,0,1,1,0,0,14,0,1,3,0,0,0,4,0,0,0,5461.0,0.0,5294.0,97191.0,0.0,5294.0,445.0,496.0,0,0,False,0
681047,147875,True,0,10,2,0,1,29,3,0,1,0,0,9,2,0,5,1,0,0,19,1,0,0,995.0,980.0,0.0,1364995.0,55068.0,0.0,521.0,1708.0,0,0,False,1
537602,337365,True,0,5,1,0,1,5,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,110.0,41.0,0.0,110.0,41.0,0.0,110.0,110.0,0,0,False,0
978205,337365,True,0,3,0,1,1,4,0,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,165.0,0.0,107.0,712194.0,0.0,107.0,165.0,165.0,0,0,False,1
805048,337365,True,0,8,0,1,1,8,0,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6819.0,0.0,6772.0,6819.0,0.0,6772.0,382.0,382.0,0,0,False,0
924463,337365,True,0,7,0,1,1,7,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,363.0,0.0,219.0,363.0,0.0,219.0,363.0,363.0,0,0,False,0
133390,337365,True,0,9,1,0,1,16,1,2,1,0,0,9,1,0,2,0,2,0,7,0,2,0,1622.0,1367.0,0.0,1893.0,1367.0,1820.0,695.0,966.0,0,0,False,0
93020,337365,True,0,11,1,0,1,15,2,0,1,0,0,10,1,0,3,1,0,0,4,1,0,0,2624.0,2334.0,0.0,2769.0,2334.0,0.0,672.0,910.0,0,0,False,0
905233,337365,True,0,9,1,0,1,11,2,0,1,0,0,9,1,0,1,1,0,0,2,1,0,0,965.0,678.0,0.0,1991.0,1928.0,0.0,597.0,660.0,0,0,False,0
771573,337365,True,0,13,1,0,1,15,1,0,1,0,0,13,1,0,2,0,0,0,2,0,0,0,736.0,195.0,0.0,736.0,195.0,0.0,446.0,736.0,0,0,False,0
412614,337365,True,0,6,0,1,1,12,0,1,1,0,0,4,0,1,2,0,0,0,6,0,0,0,304.0,0.0,219.0,442.0,0.0,219.0,304.0,442.0,0,0,False,0
843928,337365,True,0,6,1,0,1,8,1,0,1,0,0,6,1,0,2,0,0,0,2,0,0,0,548.0,543.0,0.0,572.0,543.0,0.0,39.0,63.0,0,0,False,0
301329,9678,True,0,3,0,1,1,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2612.0,0.0,2608.0,2612.0,0.0,2608.0,4.0,4.0,0,0,False,0
1107116,459762,True,0,18,0,1,1,18,0,1,1,0,0,15,0,1,0,0,0,0,0,0,0,0,563.0,0.0,15.0,563.0,0.0,15.0,257.0,257.0,0,0,False,0
494169,459762,True,0,35,0,1,1,35,0,1,1,0,0,18,0,1,0,0,0,0,0,0,0,0,841.0,0.0,9.0,841.0,0.0,9.0,239.0,239.0,0,0,False,0
176550,459762,True,0,21,0,1,1,25,0,1,1,0,0,14,0,1,1,0,0,0,1,0,0,0,2052.0,0.0,1261.0,2052.0,0.0,1261.0,747.0,747.0,0,0,False,0
926984,459762,True,0,59,0,1,1,78,0,1,1,0,0,10,0,1,8,0,0,0,19,0,0,0,794.0,0.0,121.0,1022.0,0.0,121.0,393.0,669.0,0,0,False,0
175085,459762,True,0,7,1,0,1,11,1,0,1,0,0,6,1,0,1,0,0,0,4,0,0,0,379.0,410.0,0.0,570.0,410.0,0.0,410.0,570.0,0,0,False,0
441363,459762,True,0,10,1,0,1,10,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,399.0,330.0,0.0,399.0,330.0,0.0,399.0,399.0,0,0,False,0
102403,459762,True,0,52,1,0,1,56,1,0,1,0,0,30,1,0,2,0,0,0,4,0,0,0,2607.0,2600.0,0.0,2607.0,2600.0,0.0,431.0,488.0,0,0,False,0
1036592,459762,True,0,20,0,1,1,20,0,1,1,0,0,19,0,1,0,0,0,0,0,0,0,0,585.0,0.0,280.0,585.0,0.0,280.0,585.0,585.0,0,0,False,0
338989,459762,True,0,11,0,1,1,11,0,1,1,0,0,8,0,1,0,0,0,0,0,0,0,0,423.0,0.0,13.0,423.0,0.0,13.0,423.0,423.0,0,0,False,0
1085425,459762,True,0,18,1,0,1,18,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,778.0,308.0,0.0,778.0,308.0,0.0,778.0,778.0,0,0,False,0
378291,459762,True,0,31,2,0,1,31,2,0,1,0,0,17,2,0,0,0,0,0,0,0,0,0,837.0,683.0,0.0,837.0,683.0,0.0,335.0,335.0,0,0,False,0
531168,459762,True,0,8,0,1,1,8,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,68.0,0.0,7.0,68.0,0.0,7.0,68.0,68.0,0,0,False,0
53705,459762,True,0,9,1,0,1,9,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,276.0,33.0,0.0,276.0,33.0,0.0,276.0,276.0,0,0,False,0
684916,459762,True,0,31,1,0,1,34,1,0,1,0,0,26,1,0,2,0,0,0,2,0,0,0,551.0,248.0,0.0,551.0,248.0,0.0,521.0,551.0,0,0,False,0
894920,459762,True,0,11,1,0,1,11,1,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,876.0,666.0,0.0,876.0,666.0,0.0,279.0,279.0,0,0,False,0
836113,459762,True,0,15,1,0,1,15,1,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,568.0,211.0,0.0,568.0,211.0,0.0,568.0,568.0,0,0,False,0
32760,459762,True,0,23,1,0,1,23,1,0,1,0,0,22,1,0,0,0,0,0,0,0,0,0,2372.0,2001.0,0.0,2372.0,2001.0,0.0,469.0,469.0,0,0,False,0
1111423,459762,True,0,7,0,1,1,9,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,121.0,0.0,81.0,121.0,0.0,81.0,121.0,121.0,0,0,False,0
375782,459762,True,0,15,1,0,1,15,1,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,98.0,47.0,0.0,98.0,47.0,0.0,98.0,98.0,0,0,False,0
991053,459762,True,0,20,1,0,1,20,1,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,413.0,359.0,0.0,413.0,359.0,0.0,413.0,413.0,0,0,False,0
861194,459762,True,0,18,1,0,1,18,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,2290.0,1711.0,0.0,2290.0,1711.0,0.0,614.0,614.0,0,0,False,0
463130,459762,True,0,20,0,1,1,20,0,1,1,0,0,20,0,1,0,0,0,0,0,0,0,0,471.0,0.0,38.0,471.0,0.0,38.0,471.0,471.0,0,0,False,0
762418,459762,True,0,11,0,1,1,11,0,1,1,0,0,10,0,1,0,0,0,0,0,0,0,0,503.0,0.0,213.0,503.0,0.0,213.0,503.0,503.0,0,0,False,0
317050,459762,True,0,8,1,0,1,8,1,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,123.0,125.0,0.0,123.0,125.0,0.0,125.0,125.0,0,0,False,0
986670,459762,True,0,4,1,0,1,4,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,57.0,38.0,0.0,57.0,38.0,0.0,57.0,57.0,0,0,False,0
516535,459762,True,0,27,0,1,1,27,0,1,1,0,0,20,0,1,0,0,0,0,0,0,0,0,250.0,0.0,11.0,250.0,0.0,11.0,250.0,250.0,0,0,False,0
597484,459762,True,0,12,0,1,1,16,1,1,1,0,0,10,0,1,2,1,0,0,4,1,0,0,226.0,0.0,210.0,41552.0,41542.0,210.0,226.0,377.0,0,0,False,0
758054,459762,True,0,22,1,0,1,46,2,0,1,0,0,20,1,0,4,1,0,0,24,1,0,0,394.0,260.0,0.0,1263554.0,1263531.0,0.0,260.0,657.0,0,0,False,1
522079,283202,True,0,6,0,1,2,16,0,2,2,1,19.0,2,0,1,1,0,1,0,4,0,1,0,40.0,0.0,41.0,218.0,0.0,163.0,41.0,218.0,41.0,146.0,False,0
25599,203877,True,0,25,0,1,1,25,0,1,1,0,0,15,0,1,0,0,0,0,0,0,0,0,258.0,0.0,244.0,258.0,0.0,244.0,258.0,258.0,0,0,False,0
683703,203877,True,0,29,0,1,1,33,0,1,1,0,0,11,0,1,1,0,0,0,1,0,0,0,572.0,0.0,435.0,728342.0,0.0,435.0,572.0,572.0,0,0,False,1
457861,76463,True,0,6,0,1,1,20,0,3,1,0,0,6,0,1,5,0,2,0,14,0,2,0,549.0,0.0,321.0,84035.0,0.0,83952.0,253.0,781.0,0,0,False,0
218804,76463,True,0,3,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,22.0,0.0,14.0,22.0,0.0,14.0,22.0,22.0,0,0,False,0
711456,76463,True,0,14,0,1,1,22,0,1,1,0,0,12,0,1,3,0,0,0,8,0,0,0,584.0,0.0,389.0,156260.0,0.0,389.0,584.0,917.0,0,0,False,0
578371,76463,True,0,11,1,0,1,14,1,0,1,0,0,5,1,0,1,0,0,0,3,0,0,0,1212.0,1129.0,0.0,219043.0,1129.0,0.0,108.0,141.0,0,0,False,0
870312,76463,True,0,12,0,1,1,12,0,1,1,0,0,10,0,1,0,0,0,0,0,0,0,0,527.0,0.0,186.0,527.0,0.0,186.0,527.0,527.0,0,0,False,0
765939,76463,True,0,7,0,1,1,51,0,2,1,0,0,5,0,1,22,0,1,0,43,0,1,0,1174.0,0.0,25.0,1985.0,0.0,783.0,188.0,1985.0,0,0,False,0
121630,76463,True,0,3,0,1,1,10,0,2,1,0,0,1,0,1,3,0,1,0,6,0,1,0,19.0,0.0,8.0,307140.0,0.0,307124.0,19.0,190.0,0,0,False,0
241457,76463,True,0,8,1,0,1,10,1,0,1,0,0,8,1,0,2,0,0,0,2,0,0,0,1170.0,1112.0,0.0,1228.0,1112.0,0.0,61.0,119.0,0,0,False,0
703885,76463,True,0,4,0,1,1,4,0,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,51.0,0.0,29.0,51.0,0.0,29.0,51.0,51.0,0,0,False,0
811760,76463,True,0,31,2,0,1,80,2,0,2,0,0,29,2,0,5,0,0,0,11,0,0,0,1674.0,1293.0,0.0,1674.0,1293.0,0.0,1022.0,1355.0,0,0,False,0
720847,76463,True,0,2,0,1,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,117.0,0.0,57.0,117.0,0.0,57.0,117.0,117.0,0,0,False,0
701686,76463,True,0,12,0,1,1,12,0,1,1,0,0,10,0,1,0,0,0,0,0,0,0,0,230.0,0.0,163.0,230.0,0.0,163.0,230.0,230.0,0,0,False,0
1046,76463,True,0,2,0,1,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,24.0,0.0,20.0,24.0,0.0,20.0,24.0,24.0,0,0,False,0
810633,76463,True,0,10,0,1,1,12,0,1,1,0,0,10,0,1,2,0,0,0,2,0,0,0,1066.0,0.0,1017.0,1124.0,0.0,1017.0,321.0,379.0,0,0,False,0
28928,76463,True,0,4,0,1,1,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,42.0,0.0,18.0,42.0,0.0,18.0,42.0,42.0,0,0,False,0
211848,76463,True,0,8,0,1,1,21,0,2,1,0,0,7,0,1,4,0,1,0,13,0,1,0,1437.0,0.0,1116.0,1437.0,0.0,1116.0,579.0,1071.0,0,0,False,0
1050198,76463,True,0,10,0,1,1,11,0,1,1,0,0,6,0,1,1,0,0,0,1,0,0,0,79.0,0.0,30.0,89.0,0.0,30.0,79.0,89.0,0,0,False,0
20324,76463,True,0,12,1,0,1,13,1,0,1,0,0,12,1,0,1,0,0,0,1,0,0,0,1886.0,60.0,0.0,1892.0,60.0,0.0,675.0,681.0,0,0,False,0
1058726,76463,True,0,8,0,1,1,8,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,166.0,0.0,29.0,166.0,0.0,29.0,166.0,166.0,0,0,False,0
59584,76463,True,0,7,1,0,1,7,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,19.0,17.0,0.0,19.0,17.0,0.0,19.0,19.0,0,0,False,0
219206,250078,True,0,7,0,1,1,12,0,2,1,0,0,3,0,1,3,0,1,0,5,0,1,0,677.0,0.0,169.0,696.0,0.0,309.0,219.0,696.0,0,0,False,0
179577,250078,True,0,16,1,0,1,21,1,0,1,0,0,16,1,0,5,0,0,0,5,0,0,0,2473.0,2245.0,0.0,2493.0,2245.0,0.0,288.0,556.0,0,0,False,0
66109,250078,True,0,26,1,1,1,54,1,1,1,0,0,23,1,1,8,0,0,0,28,0,0,0,4245.0,2567.0,2564.0,4363.0,2567.0,2564.0,998.0,1849.0,0,0,False,0
395780,250078,True,0,7,0,1,1,10,0,2,1,0,0,4,0,1,1,0,1,0,3,0,1,0,170.0,0.0,24.0,2395.0,0.0,2332.0,170.0,233.0,0,0,False,0
848351,250078,True,0,20,0,1,2,21,0,1,2,1,48.0,14,0,1,1,0,0,0,1,0,0,0,582.0,0.0,318.0,1018.0,0.0,318.0,582.0,582.0,62.0,62.0,False,0
370645,250078,True,0,13,0,1,2,26,0,1,2,1,99.0,9,0,1,4,0,0,0,13,0,0,0,657.0,0.0,140.0,55500.0,0.0,140.0,388.0,850.0,91.0,91.0,False,0
303015,250078,True,0,13,0,1,1,16,0,1,1,0,0,11,0,1,2,0,0,0,3,0,0,0,391.0,0.0,37.0,6198.0,0.0,37.0,391.0,403.0,0,0,False,0
216951,250078,True,0,18,0,1,1,24,0,1,1,0,0,17,0,1,2,0,0,0,6,0,0,0,888.0,0.0,40.0,888.0,0.0,40.0,303.0,453.0,0,0,False,0
232047,250078,True,0,27,0,1,2,28,0,1,2,1,110.0,4,0,1,1,0,0,0,1,0,0,0,65.0,0.0,60.0,65.0,0.0,60.0,56.0,65.0,353.0,353.0,False,0
649519,250078,True,0,13,0,1,1,15,0,1,1,0,0,13,0,1,0,0,0,0,0,0,0,0,548.0,0.0,472.0,548.0,0.0,472.0,197.0,197.0,0,0,False,0
163963,250078,True,0,13,0,1,1,18,0,1,1,0,0,6,0,1,1,0,0,0,5,0,0,0,187.0,0.0,20.0,146753.0,0.0,20.0,187.0,223.0,0,0,False,0
7669,250078,True,0,12,0,1,2,48,0,3,2,1,306.0,11,0,1,4,0,2,0,36,0,2,0,2947.0,0.0,2854.0,3309.0,0.0,3310.0,93.0,456.0,271.0,271.0,False,0
530893,250078,True,0,173,1,0,1,219,1,0,1,0,0,22,1,0,10,0,0,0,46,0,0,0,484.0,439.0,0.0,277502.0,439.0,0.0,447.0,1367.0,0,0,False,0
200217,250078,True,0,16,0,2,1,20,0,2,1,0,0,6,0,1,3,0,0,0,4,0,0,0,72.0,0.0,66.0,714377.0,0.0,66.0,72.0,80.0,0,0,False,1
887304,250078,True,0,5,0,1,1,21,0,1,1,0,0,4,0,1,3,0,0,0,16,0,0,0,197.0,0.0,7.0,804.0,0.0,7.0,197.0,804.0,0,0,False,0
1013537,250078,True,0,3,0,1,1,5,0,1,1,0,0,2,0,1,2,0,0,0,2,0,0,0,21.0,0.0,14.0,198.0,0.0,14.0,21.0,198.0,0,0,False,0
803065,250078,True,0,13,0,1,1,14,0,1,1,0,0,11,0,1,1,0,0,0,1,0,0,0,217.0,0.0,104.0,290.0,0.0,104.0,217.0,290.0,0,0,False,0
120992,250078,True,0,14,0,1,1,18,0,1,1,0,0,13,0,1,4,0,0,0,4,0,0,0,302.0,0.0,40.0,342.0,0.0,40.0,202.0,342.0,0,0,False,0
560737,250078,True,0,9,0,1,1,13,0,1,1,0,0,7,0,1,2,0,0,0,4,0,0,0,815.0,0.0,32.0,815.0,0.0,32.0,101.0,156.0,0,0,False,0
953046,250078,True,0,6,0,1,1,8,0,1,1,0,0,3,0,1,2,0,0,0,2,0,0,0,99.0,0.0,100.0,1014706.0,0.0,100.0,76.0,100.0,0,0,False,1
966738,250078,True,0,52,1,0,1,54,1,0,1,0,0,51,1,0,1,0,0,0,2,0,0,0,659.0,281.0,0.0,805196.0,281.0,0.0,659.0,659.0,0,0,False,1
745602,250078,True,0,43,0,1,1,81,2,1,1,0,0,21,0,1,3,0,0,0,3,0,0,0,1432.0,0.0,675.0,1036665.0,0,675.0,854.0,911.0,0,0,False,1
582570,250078,True,0,35,4,0,1,43,5,0,1,0,0,33,4,0,1,1,0,0,8,1,0,0,816.0,818.0,0.0,63207.0,63203.0,0.0,818.0,884.0,0,0,False,0
397285,250078,True,0,2,1,0,1,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,213.0,211.0,0.0,213.0,211.0,0.0,213.0,213.0,0,0,False,0
869255,250078,True,0,10,0,1,1,22,0,1,1,0,0,9,0,1,1,0,0,0,12,0,0,0,72.0,0.0,9.0,1027.0,0.0,9.0,72.0,211.0,0,0,False,0
324363,250078,True,0,4,0,1,1,4,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,66.0,0.0,21.0,66.0,0.0,21.0,66.0,66.0,0,0,False,0
727063,250078,True,0,10,0,1,1,23,0,2,1,0,0,9,0,1,4,0,1,0,13,0,1,0,789.0,0.0,226.0,80060.0,0.0,78811.0,488.0,1584.0,0,0,False,0
308503,250078,True,0,32,1,0,1,37,1,0,1,0,0,22,1,0,2,0,0,0,5,0,0,0,278.0,129.0,0.0,492.0,129.0,0.0,224.0,492.0,0,0,False,0
265293,250078,True,0,3,0,1,1,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,10.0,0.0,12.0,10.0,0.0,12.0,12.0,12.0,0,0,False,0
484011,250078,True,0,3,0,1,1,4,0,1,1,0,0,2,0,1,1,0,0,0,1,0,0,0,27.0,0.0,22.0,1165941.0,0.0,22.0,27.0,27.0,0,0,False,1
741399,250078,True,0,2,0,1,1,7,1,3,1,0,0,1,0,1,3,1,2,0,5,1,2,0,3.0,0.0,6.0,68.0,30.0,54.0,6.0,68.0,0,0,False,0
602058,250078,True,0,12,0,1,1,31,0,2,1,0,0,10,0,1,5,0,1,0,13,0,1,0,251.0,0.0,5.0,954973.0,0.0,193.0,85.0,389.0,0,0,False,1
29837,133429,True,0,6,0,1,2,9,0,1,2,1,42.0,4,0,1,3,0,0,0,3,0,0,0,225.0,0.0,233.0,11769.0,0.0,233.0,233.0,315.0,22.0,22.0,False,0
